sequence_id	protein_id	gene_start	gene_end	gene_strand	pfam_id	deepbgc_score	in_cluster
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF11638	0.02194	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF00308	0.01432	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF01695	0.01434	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF03969	0.01173	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF01637	0.00896	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF00004	0.00938	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF05729	0.01256	0
NC_008095.1	NC_008095.1_NC_008095.1_1	146	1439	1	PF08299	0.00743	0
NC_008095.1	NC_008095.1_NC_008095.1_2	1719	3420	1	PF01347	0.01103	0
NC_008095.1	NC_008095.1_NC_008095.1_2	1719	3420	1	PF13646	0.01097	0
NC_008095.1	NC_008095.1_NC_008095.1_3	3552	3987	-1	PF00571	0.00961	0
NC_008095.1	NC_008095.1_NC_008095.1_4	4008	4491	-1	PF13317	0.00626	0
NC_008095.1	NC_008095.1_NC_008095.1_4	4008	4491	-1	PF10025	0.01158	0
NC_008095.1	NC_008095.1_NC_008095.1_5	4633	5485	-1	PF07690	0.011	0
NC_008095.1	NC_008095.1_NC_008095.1_5	4633	5485	-1	PF00643	0.00854	0
NC_008095.1	NC_008095.1_NC_008095.1_6	5631	7044	1	PF00675	0.00619	0
NC_008095.1	NC_008095.1_NC_008095.1_6	5631	7044	1	PF05193	0.0052	0
NC_008095.1	NC_008095.1_NC_008095.1_7	7043	8561	1	PF00675	0.00446	0
NC_008095.1	NC_008095.1_NC_008095.1_7	7043	8561	1	PF05193	0.00395	0
NC_008095.1	NC_008095.1_NC_008095.1_9	9260	10496	-1	PF05977	0.00697	0
NC_008095.1	NC_008095.1_NC_008095.1_9	9260	10496	-1	PF07690	0.00494	0
NC_008095.1	NC_008095.1_NC_008095.1_9	9260	10496	-1	PF00083	0.00455	0
NC_008095.1	NC_008095.1_NC_008095.1_9	9260	10496	-1	PF13347	0.00672	0
NC_008095.1	NC_008095.1_NC_008095.1_10	10659	12276	-1	PF09587	0.00583	0
NC_008095.1	NC_008095.1_NC_008095.1_10	10659	12276	-1	PF13432	0.00534	0
NC_008095.1	NC_008095.1_NC_008095.1_11	12408	12915	-1	PF04173	0.00877	0
NC_008095.1	NC_008095.1_NC_008095.1_11	12408	12915	-1	PF07681	0.00782	0
NC_008095.1	NC_008095.1_NC_008095.1_11	12408	12915	-1	PF13564	0.01147	0
NC_008095.1	NC_008095.1_NC_008095.1_13	14065	14845	-1	PF05175	0.01061	0
NC_008095.1	NC_008095.1_NC_008095.1_13	14065	14845	-1	PF02475	0.01198	0
NC_008095.1	NC_008095.1_NC_008095.1_13	14065	14845	-1	PF13649	0.02382	0
NC_008095.1	NC_008095.1_NC_008095.1_14	15079	16390	1	PF12802	0.01638	0
NC_008095.1	NC_008095.1_NC_008095.1_14	15079	16390	1	PF07804	0.01361	0
